Indicador,Nombre Indicador,Clave área geográfica,Entidad,Municipio,Periodo,Valor,Excepción,Unidad de medida,Frecuencia,Information Status,Referencias
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2017/09,106.3223418,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2017/08,111.7700625,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2017/07,108.9544603,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2017/06,112.796383,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2017/05,112.3023541,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2017/04,106.2007443,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2017/03,111.9035644,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2017/02,105.2826348,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2017/01,108.4191757,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2016/12,112.5090613,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2016/11,114.1452151,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2016/10,110.56421,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
